omar,1,20,20,20,30,60,50,
yousef,2,30,20,10,60,0,3,
ahmed,3,10,30,20,60,50,40,
momo,4,20,20,0,0,30,3,
yoyo5,5,30,20,50,10,30,60,
pasem,6,10,30,20,20,50,60,
tamer,7,5,6,9,8,7,5,
ali,8,20,20,32,10,30,20,
ola,9,3,1,5,6,6,2,
queen,10,20,30,6,5,20,20,
salma,11,20,30,20,20,10,0,
roro,12,30,60,2,3,1,0,
mohaned,13,20,30,30,20,50,10,
qasem,14,20,30,6,9,8,9,
osama,15,20,2,1,3,0,2,
alaa,16,30,3,2,1,6,5,
hadeel,17,2,5,6,3,1,4,
noran,18,2,3,6,5,7,20,
methaq,19,2,3,6,5,4,1,
tsnem,20,3,6,21,4,5,2,
sama,21,2,1,0,3,6,5,
dala,22,2,3,6,5,1,4,
dalelah,23,25,36,69,58,95,63,
gorgena,24,20,3,2,1,6,5,
samah,25,30,3,2,1,4,5,
malk,26,2,1,3,0,3,2,
obama,27,2,3,1,6,5,8,
tameem,28,30,32,5,56,8,4,
yasen,29,3,2,6,65,4,1,
pares,30,3,6,65,45,78,6,
jalal,31,2,3,1,2,36,63,
jamel,24,2,3,6,5,4,6,
plase,34,2,3,6,9,8,5,
omar,20,30,20,20,20,30,10,
asad,39,20,30,20,10,5,6,
ahoma,22222202,20,30,20,30,50,58,
